months_as_customer,age,policy_bind_date,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_deductable_cat,umbrella_limit_cat,bodily_injuries_cat,incident_hour_cat,vehicles_involved_cat,witnesses_cat,policy_csl_cat
426,54,1997-10-24,IL,1097.71,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,YES,,100800,16800,16800,67200,Dodge,Neon,1997,N,High,None,Major,Afternoon,Single Vehicle,Multiple Witnesses,Premium
111,27,2009-01-04,IN,1363.77,FEMALE,Masters,tech-support,exercise,husband,51100,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,YES,NO,90970,16540,16540,57890,Accura,RSX,2009,N,Low,Unknown,Major,Afternoon,Single Vehicle,Multiple Witnesses,Standard
86,26,1998-10-12,OH,1382.88,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y,Low,Unknown,Minor,Morning,Single Vehicle,Single Witness,Basic
296,46,1993-02-23,OH,1141.35,MALE,Masters,craft-repair,sleeping,not-in-family,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,,NO,54900,5490,5490,43920,Mercedes,C300,2013,N,Medium,Unknown,None,Evening,Single Vehicle,Multiple Witnesses,Basic
125,35,1996-07-07,OH,1054.83,MALE,JD,tech-support,cross-fit,husband,0,-51300,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbend,YES,NO,88660,8060,16120,64480,Mercedes,C300,2007,Y,Low,Unknown,Major,Afternoon,Single Vehicle,Multiple Witnesses,Premium
177,34,2013-01-23,IL,1057.77,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,,NO,18000,2250,2250,13500,Audi,A3,2009,N,High,None,Minor,Evening,Multi-Vehicle,Single Witness,Basic
238,39,2006-12-06,IN,1488.02,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,2015-02-25,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,YES,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N,High,None,Minor,Morning,Single Vehicle,Multiple Witnesses,Standard
81,25,2014-02-23,IN,920.3,FEMALE,High School,tech-support,hiking,own-child,51000,-67900,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,,,73920,13440,6720,53760,Honda,Civic,2003,Y,Low,Unknown,Minor,Morning,Multi-Vehicle,No Witness,Basic
128,28,2007-11-16,OH,986.53,FEMALE,High School,adm-clerical,polo,other-relative,62700,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,NO,YES,101860,18520,18520,64820,Honda,CRV,2007,N,Medium,None,None,Morning,Single Vehicle,Multiple Witnesses,Premium
449,57,1999-04-17,OH,1440.68,MALE,Associate,tech-support,movies,own-child,25000,0,2015-02-09,Parked Car,,Minor Damage,,SC,Riverwood,YES,YES,5390,980,980,3430,Volkswagen,Passat,2008,N,High,None,None,Morning,Single Vehicle,Single Witness,Standard
252,39,2006-02-06,IN,1086.21,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,,,50490,5610,5610,39270,Nissan,Maxima,2001,N,Medium,None,Minor,Evening,Single Vehicle,Multiple Witnesses,Standard
359,47,1993-10-20,OH,1367.68,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,NO,NO,55500,5550,11100,38850,Mercedes,C300,2012,N,High,None,None,Afternoon,Single Vehicle,Multiple Witnesses,Basic
19,32,2006-01-01,OH,1215.85,MALE,High School,other-service,hiking,husband,42900,-90200,2015-01-02,Vehicle Theft,,Minor Damage,Police,VA,Hillsdale,YES,YES,7040,1280,640,5120,Nissan,Maxima,2015,N,Medium,None,Minor,Morning,Single Vehicle,Single Witness,Premium
73,26,2003-04-04,IL,1191.19,MALE,MD,farming-fishing,basketball,not-in-family,29300,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003,N,High,Unknown,None,Morning,Multi-Vehicle,Single Witness,Standard
285,44,2014-07-05,IL,1594.45,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,YES,NO,55680,6960,6960,41760,Saab,95,2006,N,Medium,None,Major,Afternoon,Two Vehicles,Multiple Witnesses,Premium
196,36,1996-01-16,IN,1463.07,MALE,MD,armed-forces,skydiving,own-child,0,0,2015-01-24,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,,NO,5300,530,530,4240,Jeep,Grand Cherokee,2001,Y,High,None,Minor,Early Morning,Single Vehicle,Single Witness,Standard
223,43,2002-04-19,OH,1734.09,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,2015-01-12,Parked Car,,Trivial Damage,,WV,Arlington,YES,,5200,650,650,3900,Accura,MDX,2006,N,Low,None,None,Morning,Single Vehicle,Multiple Witnesses,Standard
328,48,2005-12-10,IL,1411.43,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,YES,NO,59400,5940,11880,41580,Honda,Civic,2014,N,Low,None,Major,Afternoon,Single Vehicle,Single Witness,Standard
285,43,1994-11-07,OH,1512.58,FEMALE,College,sales,paintball,other-relative,47600,0,2015-01-13,Vehicle Theft,,Minor Damage,Police,SC,Arlington,,,2520,280,280,1960,BMW,3 Series,1997,N,High,None,Minor,Morning,Single Vehicle,Single Witness,Basic
30,31,2012-06-02,IL,1153.35,MALE,PhD,craft-repair,golf,not-in-family,0,0,2015-02-02,Vehicle Theft,,Trivial Damage,Police,NY,Hillsdale,NO,YES,5760,960,960,3840,Suburu,Impreza,2011,N,High,None,Major,Morning,Single Vehicle,Single Witness,Standard
342,49,1998-04-07,OH,1722.95,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,,YES,76700,7670,7670,61360,Suburu,Legacy,2006,N,Low,None,Major,Early Morning,Single Vehicle,No Witness,Standard
219,39,2007-04-25,IN,1281.07,FEMALE,High School,protective-serv,board-games,unmarried,0,0,2015-01-18,Parked Car,,Trivial Damage,Police,NY,Springfield,NO,NO,5920,740,740,4440,Chevrolet,Malibu,2015,N,High,Unknown,None,Morning,Single Vehicle,Multiple Witnesses,Standard
468,62,2000-06-30,IL,1011.92,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,YES,,64350,7150,7150,50050,Chevrolet,Tahoe,2009,N,Low,None,None,Morning,Multi-Vehicle,Multiple Witnesses,Basic
241,39,1996-06-04,IL,1042.26,MALE,JD,sales,kayaking,husband,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,NO,,19080,4240,2120,12720,Saab,93,1995,N,High,None,Minor,Evening,Multi-Vehicle,Multiple Witnesses,Standard
223,43,2009-05-09,OH,1235.1,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,NO,NO,54400,5440,5440,43520,BMW,M5,2011,N,Low,None,Major,Afternoon,Single Vehicle,Single Witness,Premium
128,32,2001-07-08,OH,768.91,FEMALE,College,sales,chess,other-relative,0,-39300,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,,NO,59800,5980,5980,47840,Ford,F150,1999,Y,High,None,Minor,Early Morning,Single Vehicle,No Witness,Basic
124,29,1993-09-20,OH,1301.72,MALE,Masters,handlers-cleaners,golf,husband,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,,YES,72000,7200,7200,57600,Audi,A3,2005,N,Low,None,None,Afternoon,Multi-Vehicle,Multiple Witnesses,Premium
343,48,2009-11-03,IN,1451.54,MALE,JD,adm-clerical,hiking,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,NO,NO,65070,7230,14460,43380,Mercedes,C300,2003,N,Low,Premium,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Standard
404,53,2014-12-10,IN,767.14,MALE,Associate,sales,reading,not-in-family,25500,-36700,2015-01-14,Parked Car,,Trivial Damage,Police,WV,Columbus,NO,NO,8800,1760,880,6160,Suburu,Legacy,2002,N,Low,None,None,Morning,Single Vehicle,Single Witness,Standard
63,24,1994-01-08,OH,1620.89,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,2015-02-03,Vehicle Theft,,Minor Damage,Police,NC,Hillsdale,NO,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N,High,None,Major,Morning,Single Vehicle,No Witness,Standard
210,37,2006-08-05,IN,1048.46,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,2015-01-05,Vehicle Theft,,Trivial Damage,,OH,Columbus,,,7080,1180,590,5310,Dodge,RAM,1999,N,High,None,Minor,Morning,Single Vehicle,Multiple Witnesses,Premium
335,50,2007-02-07,OH,1538.26,MALE,High School,sales,yachting,other-relative,62200,-31400,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,YES,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N,Medium,Unknown,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Basic
11,40,2001-04-09,OH,1217.69,FEMALE,MD,prof-specialty,reading,wife,24000,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,,,53460,9720,9720,34020,Dodge,Neon,2004,Y,High,None,Minor,Morning,Multi-Vehicle,No Witness,Premium
142,33,1995-02-17,IN,1362.64,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,YES,,81360,6780,13560,61020,Suburu,Legacy,2009,Y,High,Unknown,Minor,Morning,Single Vehicle,Multiple Witnesses,Basic
272,43,1995-07-25,OH,1279.13,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,,YES,81070,7370,14740,58960,Audi,A3,2006,Y,Medium,None,Minor,Early Morning,Multi-Vehicle,Multiple Witnesses,Basic
69,26,2006-03-24,IL,924.72,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,NO,NO,63120,5260,10520,47340,Audi,A5,2008,N,High,None,Major,Afternoon,Single Vehicle,Multiple Witnesses,Basic
38,28,1995-03-28,OH,1019.44,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,2015-02-10,Vehicle Theft,,Trivial Damage,,NC,Springfield,,NO,7200,1440,720,5040,BMW,X5,2004,N,Medium,None,Major,Afternoon,Single Vehicle,Single Witness,Standard
328,46,1996-06-19,IL,1314.6,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,,,70290,12780,6390,51120,Saab,92x,1998,Y,Low,None,Major,Early Morning,Single Vehicle,Multiple Witnesses,Premium
281,43,1993-06-16,OH,1515.18,MALE,College,priv-house-serv,camping,other-relative,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,NO,NO,60190,9260,9260,41670,BMW,X6,1999,N,Medium,Unknown,Minor,Evening,Multi-Vehicle,No Witness,Basic
246,44,2001-07-11,OH,1649.18,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,YES,YES,61380,11160,5580,44640,Honda,Civic,2009,Y,High,None,Minor,Evening,Single Vehicle,Multiple Witnesses,Standard
298,49,2008-11-22,OH,1451.01,FEMALE,College,other-service,exercise,own-child,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,NO,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N,Low,None,Major,Afternoon,Single Vehicle,Multiple Witnesses,Standard
330,50,2002-12-28,IL,978.46,FEMALE,High School,sales,yachting,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,YES,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N,Medium,None,None,Evening,Single Vehicle,No Witness,Premium
362,50,2006-01-01,IL,1198.34,MALE,Associate,sales,board-games,wife,53000,-72500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,,NO,57060,6340,6340,44380,Mercedes,E400,1995,N,Low,Unknown,Minor,Afternoon,Multi-Vehicle,Single Witness,Standard
241,38,1990-05-19,IN,1003.23,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,,YES,77880,12980,12980,51920,Accura,MDX,2008,N,High,None,None,Evening,Multi-Vehicle,Multiple Witnesses,Basic
245,41,2013-08-26,IN,1212.0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,YES,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N,High,None,None,Early Morning,Single Vehicle,Single Witness,Premium
371,52,1997-10-12,IL,1242.96,FEMALE,High School,other-service,paintball,own-child,0,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,YES,,88920,6840,13680,68400,Accura,RSX,2010,N,Medium,Unknown,Major,Early Morning,Two Vehicles,No Witness,Standard
343,52,2002-01-21,IL,1053.02,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y,Medium,None,None,Early Morning,Single Vehicle,Multiple Witnesses,Premium
377,53,1996-09-02,IL,1693.63,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,YES,NO,59040,6560,6560,45920,Saab,93,2015,N,Low,None,Minor,Morning,Multi-Vehicle,Multiple Witnesses,Basic
154,37,2010-01-28,IL,2047.59,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,,NO,79530,14460,7230,57840,Accura,MDX,2000,N,Medium,None,None,Early Morning,Single Vehicle,Multiple Witnesses,Standard
166,34,2014-10-03,OH,1083.72,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,NO,YES,53680,4880,4880,43920,Honda,CRV,2005,N,Medium,None,None,Evening,Single Vehicle,Multiple Witnesses,Basic
298,46,2007-05-02,OH,1138.42,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,NO,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N,Medium,Unknown,Major,Evening,Single Vehicle,Multiple Witnesses,Premium
235,42,1990-09-22,IN,1072.62,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N,Low,None,Major,Morning,Multi-Vehicle,Single Witness,Standard
172,35,2004-09-19,IL,1219.04,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N,High,None,Major,Evening,Multi-Vehicle,No Witness,Basic
27,28,1995-08-28,IN,1371.78,MALE,JD,farming-fishing,polo,other-relative,0,-32500,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,,YES,53600,5360,10720,37520,Audi,A5,2015,Y,High,None,None,Morning,Multi-Vehicle,Multiple Witnesses,Basic
428,54,2004-02-04,IN,1506.21,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,NO,,76560,12760,6380,57420,Nissan,Ultima,2009,N,High,None,Minor,Afternoon,Multi-Vehicle,No Witness,Basic
99,32,2014-07-23,IN,1058.21,MALE,JD,craft-repair,golf,unmarried,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,YES,NO,41130,4570,4570,31990,Dodge,RAM,1999,N,Medium,Premium,Minor,Afternoon,Single Vehicle,Single Witness,Basic
107,26,1997-03-21,IL,932.14,MALE,MD,sales,cross-fit,own-child,40600,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,NO,NO,78650,14300,7150,57200,Audi,A3,1996,Y,High,None,Major,Early Morning,Multi-Vehicle,Multiple Witnesses,Premium
272,41,1991-05-06,OH,1608.34,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,,,71060,6460,12920,51680,Saab,92x,2010,N,High,None,Minor,Evening,Single Vehicle,Single Witness,Premium
151,37,1992-08-07,IN,1728.56,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,YES,,38830,3530,3530,31770,Suburu,Legacy,1999,N,Medium,None,Minor,Early Morning,Single Vehicle,Single Witness,Premium
249,43,2013-09-03,IL,1518.46,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,,YES,53500,5350,5350,42800,Saab,92x,2015,N,Medium,None,None,Afternoon,Single Vehicle,No Witness,Standard
177,38,2012-01-05,IL,1540.19,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,YES,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y,High,None,Major,Evening,Single Vehicle,No Witness,Basic
190,40,2007-01-27,OH,965.21,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,2015-02-02,Parked Car,,Trivial Damage,,SC,Hillsdale,,YES,6300,630,630,5040,Nissan,Ultima,2001,N,High,None,Major,Morning,Single Vehicle,Single Witness,Premium
174,36,2005-10-14,IL,1278.75,FEMALE,College,tech-support,paintball,own-child,53200,-53800,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,,NO,65400,10900,10900,43600,Dodge,RAM,2012,N,High,None,Major,Evening,Multi-Vehicle,Multiple Witnesses,Basic
95,28,1990-11-03,OH,773.99,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,2015-01-01,Vehicle Theft,,Trivial Damage,,PA,Springfield,YES,NO,3200,640,320,2240,Mercedes,E400,2014,N,Medium,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Standard
371,51,2005-10-15,IN,1532.47,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,YES,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y,Medium,None,None,Morning,Single Vehicle,Multiple Witnesses,Premium
2,28,1999-05-22,IL,1340.56,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,YES,YES,58140,6460,6460,45220,Saab,92x,2008,N,Medium,None,None,Evening,Single Vehicle,Multiple Witnesses,Standard
269,44,2002-12-21,OH,1297.75,FEMALE,JD,other-service,chess,own-child,0,-41400,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,,,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y,Low,Unknown,None,Afternoon,Multi-Vehicle,Single Witness,Basic
101,27,2007-02-10,IL,433.33,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,2015-01-02,Parked Car,,Minor Damage,,SC,Hillsdale,,NO,5900,1180,590,4130,Mercedes,E400,2009,N,Medium,None,None,Morning,Single Vehicle,Multiple Witnesses,Standard
94,30,2002-03-01,IN,1025.54,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N,High,None,Minor,Evening,Single Vehicle,Multiple Witnesses,Standard
117,28,2003-04-21,OH,1264.77,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,YES,,55440,5040,10080,40320,Suburu,Forrestor,2009,Y,Low,None,None,Afternoon,Two Vehicles,Single Witness,Standard
111,27,2002-09-22,OH,1459.97,MALE,MD,sales,yachting,other-relative,0,0,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,NO,NO,80850,7350,14700,58800,Ford,F150,2011,Y,Low,Unknown,Minor,Early Morning,Multi-Vehicle,Multiple Witnesses,Standard
242,40,1998-02-10,OH,1238.65,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,2015-01-27,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,YES,NO,7480,680,680,6120,Saab,95,1998,N,Low,None,Minor,Early Morning,Single Vehicle,Single Witness,Basic
440,61,1992-09-01,OH,1050.76,MALE,PhD,transport-moving,movies,wife,41500,-70200,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y,Low,None,Major,Evening,Single Vehicle,Multiple Witnesses,Standard
20,23,1999-05-01,OH,1711.72,FEMALE,JD,tech-support,base-jumping,wife,0,0,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,NO,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y,Medium,None,Major,Evening,Multi-Vehicle,Multiple Witnesses,Premium
461,57,1997-12-19,IL,865.33,FEMALE,High School,farming-fishing,golf,own-child,0,0,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,NO,,59040,9840,9840,39360,Dodge,RAM,1995,N,Low,Unknown,None,Morning,Multi-Vehicle,Single Witness,Basic
208,36,2000-06-18,IL,1153.49,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,YES,YES,50500,10100,5050,35350,Accura,TL,2004,N,Low,None,Minor,Afternoon,Multi-Vehicle,No Witness,Standard
279,43,1995-04-24,OH,1281.25,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,YES,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y,High,None,None,Afternoon,Single Vehicle,Single Witness,Premium
244,40,2006-06-16,IL,1342.8,FEMALE,MD,sales,base-jumping,husband,0,0,2015-02-02,Vehicle Theft,,Trivial Damage,Police,NY,Springfield,YES,YES,5940,660,660,4620,Toyota,Camry,2014,N,Low,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Basic
134,30,2007-09-28,OH,1443.32,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y,High,None,None,Evening,Multi-Vehicle,Multiple Witnesses,Standard
122,29,1991-11-21,OH,1629.94,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,2015-02-02,Parked Car,,Trivial Damage,,SC,Riverwood,,NO,3850,350,350,3150,Dodge,Neon,2014,N,Medium,None,None,Afternoon,Single Vehicle,Single Witness,Standard
156,31,1996-09-21,IL,1134.08,MALE,PhD,other-service,reading,husband,0,0,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,,,59000,5900,5900,47200,Ford,Fusion,2013,Y,High,None,Major,Early Morning,Single Vehicle,No Witness,Basic
232,43,2001-05-16,OH,1483.91,MALE,College,machine-op-inspct,golf,husband,0,-33600,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,NO,,70600,7060,14120,49420,Volkswagen,Passat,2013,Y,Low,Unknown,None,Afternoon,Multi-Vehicle,Single Witness,Standard
244,40,1999-08-11,IN,1304.67,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,,,61490,5590,11180,44720,Dodge,RAM,2001,N,High,Unknown,Minor,Early Morning,Multi-Vehicle,Single Witness,Premium
84,30,2003-06-16,IL,1035.79,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,NO,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N,High,None,Minor,Morning,Single Vehicle,No Witness,Premium
394,57,1999-03-30,IL,1401.2,FEMALE,High School,craft-repair,movies,own-child,51500,0,2015-01-25,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,NO,NO,6890,1060,1060,4770,Audi,A5,1999,N,Low,None,Minor,Morning,Single Vehicle,No Witness,Standard
246,45,1999-02-03,IL,1665.45,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,,,53280,11840,5920,35520,Toyota,Camry,2006,Y,Medium,None,Major,Morning,Multi-Vehicle,Multiple Witnesses,Standard
35,29,2011-08-25,IN,653.66,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,NO,,78300,15660,7830,54810,BMW,X5,2009,N,High,None,None,Evening,Multi-Vehicle,No Witness,Premium
156,37,2010-06-28,OH,1080.13,MALE,Associate,protective-serv,reading,other-relative,0,-61000,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,YES,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N,Low,None,None,Afternoon,Multi-Vehicle,Multiple Witnesses,Basic
195,36,2001-11-06,IN,1346.18,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,YES,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N,High,None,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Basic
